

symbol,date,o,h,l,c
pcrw,20180105,0.8,0.8,0.8,0.8
pcrw,20180108,0.85,0.85,0.85,0.85
pcrw,20180109,1.0,1.0,1.0,1.0
pcrw,20180110,1.21,1.21,1.21,1.21
pcrw,20180111,0.68,0.68,0.68,0.68
pcrw,20180112,0.76,0.76,0.76,0.76
pcrw,20180115,0.85,0.85,0.85,0.85
pcrw,20180116,1.16,1.16,1.16,1.16
pcrw,20180117,0.46,0.46,0.46,0.46
pcrw,20180118,1.09,1.09,1.09,1.09
pcrw,20180119,0.29,0.29,0.29,0.29
pcrw,20180122,0.31,0.31,0.31,0.31
pcrw,20180124,0.34,0.34,0.34,0.34
pcrw,20180125,0.16,0.16,0.16,0.16
pcrw,20180129,0.86,0.86,0.86,0.86
pcrw,20180130,1.14,1.14,1.14,1.14
pcrw,20180131,0.86,0.86,0.86,0.86
pcrw,20180201,1.13,1.13,1.13,1.13
pcrw,20180202,3.62,3.62,3.62,3.62
pcrw,20180205,1.17,1.17,1.17,1.17
pcrw,20180206,1.01,1.01,1.01,1.01
pcrw,20180207,1.77,1.77,1.77,1.77
pcrw,20180208,1.03,1.03,1.03,1.03
pcrw,20180209,1.09,1.09,1.09,1.09
pcrw,20180209,1.09,1.09,1.09,1.09
pcrw,20180210,1.09,1.09,1.09,1.09
pcrw,20180212,0.85,0.85,0.85,0.85
pcrw,20180214,2.27,2.27,2.27,2.27
pcrw,20180215,1.03,1.03,1.03,1.03
pcrw,20180216,2.81,2.81,2.81,2.81
pcrw,20180217,2.81,2.81,2.81,2.81
pcrw,20180219,1.26,1.26,1.26,1.26
pcrw,20180220,0.92,0.92,0.92,0.92
pcrw,20180221,0.89,0.89,0.89,0.89
pcrw,20180222,0.85,0.85,0.85,0.85
pcrw,20180223,0.71,0.71,0.71,0.71
pcrw,20180224,0.71,0.71,0.71,0.71
pcrw,20180226,0.68,0.68,0.68,0.68
pcrw,20180227,1.01,1.01,1.01,1.01
pcrw,20180228,0.89,0.89,0.89,0.89
pcrw,20180301,1.7,1.7,1.7,1.7
pcrw,20180303,1.7,1.7,1.7,1.7
pcrw,20180305,1.35,1.35,1.35,1.35
pcrw,20180306,2.64,2.64,2.64,2.64
pcrw,20180307,1.41,1.41,1.41,1.41
pcrw,20180308,0.86,0.86,0.86,0.86
pcrw,20180309,1.17,1.17,1.17,1.17
pcrw,20180312,0.43,0.43,0.43,0.43
pcrw,20180313,1.01,1.01,1.01,1.01
pcrw,20180314,0.74,0.74,0.74,0.74
pcrw,20180315,1.24,1.24,1.24,1.24
pcrw,20180316,1.74,1.74,1.74,1.74
pcrw,20180319,2.3,2.3,2.3,2.3
pcrw,20180320,1.05,1.05,1.05,1.05
pcrw,20180321,1.32,1.32,1.32,1.32
pcrw,20180322,2.45,2.45,2.45,2.45
pcrw,20180323,1.64,1.64,1.64,1.64
pcrw,20180326,0.26,0.26,0.26,0.26
pcrw,20180327,0.88,0.88,0.88,0.88
pcrw,20180328,1.72,1.72,1.72,1.72
pcrw,20180402,0.68,0.68,0.68,0.68
pcrw,20180403,0.72,0.72,0.72,0.72
pcrw,20180404,1.85,1.85,1.85,1.85
pcrw,20180405,0.62,0.62,0.62,0.62
pcrw,20180406,0.98,0.98,0.98,0.98
pcrw,20180409,0.84,0.84,0.84,0.84
pcrw,20180410,0.95,0.95,0.95,0.95
pcrw,20180411,1.0,1.0,1.0,1.0
pcrw,20180412,0.83,0.83,0.83,0.83
pcrw,20180413,0.93,0.93,0.93,0.93
pcrw,20180416,0.59,0.59,0.59,0.59
pcrw,20180417,0.87,0.87,0.87,0.87
pcrw,20180418,1.22,1.22,1.22,1.22
pcrw,20180419,0.88,0.88,0.88,0.88
pcrw,20180420,0.48,0.48,0.48,0.48
pcrw,20180423,0.64,0.64,0.64,0.64
pcrw,20180424,0.37,0.37,0.37,0.37
pcrw,20180425,1.02,1.02,1.02,1.02
pcrw,20180426,0.33,0.33,0.33,0.33
pcrw,20180427,0.82,0.82,0.82,0.82
pcrw,20180430,0.85,0.85,0.85,0.85
pcrw,20180502,1.07,1.07,1.07,1.07
pcrw,20180503,1.05,1.05,1.05,1.05
pcrw,20180504,1.16,1.16,1.16,1.16
pcrw,20180507,0.74,0.74,0.74,0.74
pcrw,20180508,1.0,1.0,1.0,1.0
pcrw,20180509,0.78,0.78,0.78,0.78
pcrw,20180510,1.24,1.24,1.24,1.24
pcrw,20180511,0.84,0.84,0.84,0.84
pcrw,20180514,1.12,1.12,1.12,1.12
pcrw,20180515,1.37,1.37,1.37,1.37
pcrw,20180516,1.14,1.14,1.14,1.14
pcrw,20180517,1.58,1.58,1.58,1.58
pcrw,20180518,1.86,1.86,1.86,1.86
pcrw,20180521,1.95,1.95,1.95,1.95
pcrw,20180522,1.05,1.05,1.05,1.05
pcrw,20180523,3.16,3.16,3.16,3.16
pcrw,20180524,0.54,0.54,0.54,0.54
pcrw,20180525,0.51,0.51,0.51,0.51
pcrw,20180528,0.58,0.58,0.58,0.58
pcrw,20180529,1.57,1.57,1.57,1.57
pcrw,20180530,0.53,0.53,0.53,0.53
pcrw,20180531,0.71,0.71,0.71,0.71
pcrw,20180601,1.33,1.33,1.33,1.33
pcrw,20180604,1.67,1.67,1.67,1.67
pcrw,20180605,1.0,1.0,1.0,1.0
pcrw,20180606,0.67,0.67,0.67,0.67
pcrw,20180607,0.76,0.76,0.76,0.76
pcrw,20180608,0.93,0.93,0.93,0.93
pcrw,20180611,1.02,1.02,1.02,1.02
pcrw,20180612,0.61,0.61,0.61,0.61
pcrw,20180613,0.97,0.97,0.97,0.97
pcrw,20180614,0.82,0.82,0.82,0.82
pcrw,20180615,0.71,0.71,0.71,0.71
pcrw,20180618,1.13,1.13,1.13,1.13
pcrw,20180619,1.0,1.0,1.0,1.0
pcrw,20180620,0.41,0.41,0.41,0.41
pcrw,20180621,1.44,1.44,1.44,1.44
pcrw,20180622,0.35,0.35,0.35,0.35
pcrw,20180625,1.02,1.02,1.02,1.02
pcrw,20180626,0.75,0.75,0.75,0.75
pcrw,20180627,1.53,1.53,1.53,1.53
pcrw,20180628,1.23,1.23,1.23,1.23
pcrw,20180629,0.71,0.71,0.71,0.71
pcrw,20180702,1.09,1.09,1.09,1.09
pcrw,20180703,0.68,0.68,0.68,0.68
pcrw,20180704,0.74,0.74,0.74,0.74
pcrw,20180705,0.91,0.91,0.91,0.91
pcrw,20180706,0.97,0.97,0.97,0.97
pcrw,20180709,0.61,0.61,0.61,0.61
pcrw,20180710,0.51,0.51,0.51,0.51
pcrw,20180711,0.83,0.83,0.83,0.83
pcrw,20180712,0.66,0.66,0.66,0.66
pcrw,20180713,0.76,0.76,0.76,0.76
pcrw,20180716,1.59,1.59,1.59,1.59
pcrw,20180717,0.51,0.51,0.51,0.51
pcrw,20180719,0.96,0.96,0.96,0.96
pcrw,20180720,0.57,0.57,0.57,0.57
pcrw,20180723,0.33,0.33,0.33,0.33
pcrw,20180724,0.35,0.35,0.35,0.35
pcrw,20180725,0.5,0.5,0.5,0.5
pcrw,20180726,0.26,0.26,0.26,0.26
pcrw,20180727,0.65,0.65,0.65,0.65
pcrw,20180730,0.7,0.7,0.7,0.7
pcrw,20180731,0.63,0.63,0.63,0.63
pcrw,20180801,0.99,0.99,0.99,0.99
pcrw,20180802,1.27,1.27,1.27,1.27
pcrw,20180803,0.65,0.65,0.65,0.65
pcrw,20180806,0.8,0.8,0.8,0.8
pcrw,20180807,0.85,0.85,0.85,0.85
pcrw,20180808,0.67,0.67,0.67,0.67
pcrw,20180809,0.75,0.75,0.75,0.75
pcrw,20180810,1.24,1.24,1.24,1.24
pcrw,20180813,1.04,1.04,1.04,1.04
pcrw,20180814,0.64,0.64,0.64,0.64
pcrw,20180816,0.95,0.95,0.95,0.95
pcrw,20180817,0.7,0.7,0.7,0.7
pcrw,20180820,0.46,0.46,0.46,0.46
pcrw,20180821,0.54,0.54,0.54,0.54
pcrw,20180823,0.61,0.61,0.61,0.61
pcrw,20180824,0.76,0.76,0.76,0.76
pcrw,20180827,0.2,0.2,0.2,0.2
pcrw,20180828,0.28,0.28,0.28,0.28
pcrw,20180829,0.68,0.68,0.68,0.68
pcrw,20180830,0.24,0.24,0.24,0.24
pcrw,20180831,0.54,0.54,0.54,0.54
pcrw,20180903,0.76,0.76,0.76,0.76
pcrw,20180904,1.53,1.53,1.53,1.53
pcrw,20180905,1.26,1.26,1.26,1.26
pcrw,20180906,0.92,0.92,0.92,0.92
pcrw,20180907,0.64,0.64,0.64,0.64
pcrw,20180910,1.45,1.45,1.45,1.45
pcrw,20180911,2.43,2.43,2.43,2.43
pcrw,20180912,0.7,0.7,0.7,0.7
pcrw,20180914,0.57,0.57,0.57,0.57
pcrw,20180917,1.43,1.43,1.43,1.43
pcrw,20180918,2.1,2.1,2.1,2.1
pcrw,20180919,1.93,1.93,1.93,1.93
pcrw,20180921,2.39,2.39,2.39,2.39
pcrw,20180924,3.48,3.48,3.48,3.48
pcrw,20180925,0.35,0.35,0.35,0.35
pcrw,20180926,1.34,1.34,1.34,1.34
pcrw,20180927,2.95,2.95,2.95,2.95
pcrw,20180928,1.56,1.56,1.56,1.56
pcrw,20181001,0.66,0.66,0.66,0.66
pcrw,20181008,1.05,1.05,1.05,1.05
pcrw,20181011,1.53,1.53,1.53,1.53
pcrw,20181012,0.69,0.69,0.69,0.69
pcrw,20181015,0.63,0.63,0.63,0.63
pcrw,20181016,0.76,0.76,0.76,0.76
pcrw,20181017,3.56,3.56,3.56,3.56
pcrw,20181019,1.73,1.73,1.73,1.73
pcrw,20181022,3.78,3.78,3.78,3.78
pcrw,20181023,1.66,1.66,1.66,1.66
pcrw,20181024,0.99,0.99,0.99,0.99
pcrw,20181025,4.63,4.63,4.63,4.63
pcrw,20181026,1.55,1.55,1.55,1.55
pcrw,20181029,0.56,0.56,0.56,0.56
pcrw,20181030,1.04,1.04,1.04,1.04
pcrw,20181031,0.61,0.61,0.61,0.61
pcrw,20181101,0.81,0.81,0.81,0.81
pcrw,20181102,0.7,0.7,0.7,0.7
pcrw,20181105,0.87,0.87,0.87,0.87
pcrw,20181106,1.14,1.14,1.14,1.14
pcrw,20181112,1.77,1.77,1.77,1.77
pcrw,20181114,0.99,0.99,0.99,0.99
pcrw,20181115,0.85,0.85,0.85,0.85
pcrw,20181119,0.58,0.58,0.58,0.58
pcrw,20181120,1.36,1.36,1.36,1.36
pcrw,20181121,0.9,0.9,0.9,0.9
pcrw,20181122,2.6,2.6,2.6,2.6
pcrw,20181123,2.6,2.6,2.6,2.6
pcrw,20181126,0.34,0.34,0.34,0.34
pcrw,20181127,0.38,0.38,0.38,0.38
pcrw,20181128,0.87,0.87,0.87,0.87
pcrw,20181129,0.2,0.2,0.2,0.2
pcrw,20181130,0.97,0.97,0.97,0.97
pcrw,20181203,0.83,0.83,0.83,0.83
pcrw,20181204,0.95,0.95,0.95,0.95
pcrw,20181205,1.06,1.06,1.06,1.06
pcrw,20181206,1.67,1.67,1.67,1.67
pcrw,20181207,0.72,0.72,0.72,0.72
pcrw,20181210,1.83,1.83,1.83,1.83
